person_capacity,bedrooms,amenity_count,room_type_encoded,host_multi_listing,dist_km,is_superhost_int,review_score_composite,kaggle_median_lifestyle,kaggle_median_metro_dist_km,host_tenure_days,capacity_x_dist,bedrooms_x_amenity,dist_km_sq,log_dist_km,inv_dist_km,host_response_rate_num,host_acceptance_rate_num,review_velocity_l30d,availability_rate,neighbourhood_median_price,dist_x_score,superhost_x_score,room_x_capacity,tenure_x_multi,amenity_per_bedroom,listing_index
-0.03893016,-0.0458365,0.010317592,-0.006365343,0.0061718966,-0.0863515,0.03869881,0.017743051,0.0005857807,0.002730103,0.09811887,0.018952329,-0.005441642,-0.02315391,-0.009372024,-0.014428888,0.0980125,-0.013108761,0.08617302,0.019833423,0.15249711,-0.019600393,0.01992473,0.0074344235,0.13228835,0.005845741,68240
0.024701428,-0.053487413,-0.015621897,-0.00991093,0.004327319,0.06129022,-0.026585061,-0.15209608,-0.00021787612,-0.0030733417,-0.03393932,0.011730181,-0.00048923655,0.0150930695,0.0057827034,-0.0012725235,-0.027292272,-0.02754884,0.097321704,0.0050329585,0.0851877,-0.00077459967,-0.031081812,-0.0039072954,0.011991598,-0.005318319,68754
-0.044287387,0.07029796,-0.023087215,-0.002173754,-0.012045786,-0.1004399,0.012499034,0.031354662,0.0006533587,-0.002945555,-0.016502552,-0.00083849265,0.0024220487,-0.031456098,-0.009173963,-0.017269097,-0.013778755,-0.060161453,-0.04361541,-0.028593373,-0.25967827,-0.01586231,0.0058079273,0.0032495316,-0.059927326,-0.0055314335,65605
0.047427792,0.066709146,-0.022149347,-0.0041162423,0.0077311597,-0.040715992,0.014447885,0.07148365,0.00047672706,0.0014740835,0.059301037,0.01170532,0.012737337,-0.014608588,-0.001637249,-0.016603947,-0.010635371,-0.002816913,-0.08793336,-0.036861956,-0.08941105,-0.014885195,0.026607843,-0.006141655,0.036880687,0.026751414,72786
-0.03768558,0.08572902,-0.023293093,-0.003191995,-0.012591629,-0.08198342,0.011523073,-0.007033523,0.00063756894,0.00069969695,-0.014768251,0.004569585,0.09262471,-0.03040426,-0.010032526,-0.02027419,-0.014057507,-0.0804798,-0.020130685,-0.030764572,-0.038564045,-0.011460458,-0.0014329555,0.00515449,-0.06858628,-0.0077477214,68889
0.021475904,-0.045580223,-0.006093002,-0.0138345435,0.007642618,0.15352148,-0.010594277,0.117655955,-0.0020653815,-0.0022786057,0.014936299,-0.001900163,-0.048790805,0.04607039,0.010439694,0.028905094,0.066701375,0.039235715,0.090007454,-0.024964442,0.19435835,0.048956215,-0.012680662,-0.0035971645,0.10586482,-0.017993111,67090
0.19722106,0.19955409,-0.013441674,-0.0049528466,0.0055461773,-0.07367961,-0.015256214,-0.24805848,-9.420501e-05,0.0009797757,-0.07542614,0.017857749,0.07181118,-0.023054035,-0.0071795,-0.013519332,-0.011561247,-0.007858864,0.04723887,-0.02256909,-0.21343285,-0.015546245,-0.014143656,0.07180991,0.01537966,-0.024094645,68076
-0.059425246,-0.045288347,0.0022101859,-0.010256176,0.007767407,0.15410067,-0.008912064,0.18219216,-0.0018556038,-0.006551547,0.057850882,0.003977366,-0.046035036,0.04573064,0.0114873955,0.015548205,-0.0070403,0.37609124,0.09585594,-0.015824312,0.16619258,0.023717653,-0.013574367,-0.0034287095,0.14853433,-0.0017344065,70581
0.0432035,0.08369736,-0.020671936,-0.006378412,-0.0108841,-0.045050893,-0.008079039,-0.0082870275,0.00044832667,0.0013815252,0.01000178,0.003233273,0.03652937,-0.012340584,-0.0039767944,-0.0071548466,0.05992324,-0.0026194747,-0.02228028,-0.004510112,0.21518336,-0.012591004,-0.010354216,-0.013037413,-0.0550083,-0.004167492,74676
0.021440303,-0.0528158,0.054305144,-0.0047564995,0.0063611027,-0.07666798,-0.013944219,0.12973446,0.0002025569,0.00082246365,0.046997674,0.016524285,0.0133028,-0.024097264,-0.007064758,-0.013055888,-0.0073773195,-0.002099239,-0.08113139,-0.0019061479,-0.024867807,-0.015307079,-0.016252132,0.0008587483,0.03772817,0.019342747,76067
0.08987582,0.05029657,0.03420217,-0.0043559074,0.006607352,-0.09506098,-0.017368615,-0.027547453,6.924769e-05,0.0007579628,0.061712015,-0.019456796,0.1015339,-0.03271801,-0.01026836,-0.017349243,-0.004892175,-0.005324787,-0.0272009,0.0071676527,-0.1391794,-0.011005702,-0.017102392,0.034978334,0.16551638,-0.015284464,71237
0.083951935,0.060026046,-0.019362876,-0.0050226874,-0.01975459,-0.08098398,-0.0086890785,0.02288776,0.00030029574,0.0012410576,0.034109455,0.023507794,0.010835684,-0.029610608,-0.008481037,-0.017438656,-0.015225482,-0.0039613894,0.0461782,-0.00249581,-0.0485756,-0.0065541314,-0.008434246,0.03334357,-0.09328008,-0.0069178133,75044
-0.050753012,-0.049073406,-0.010392956,-0.009544371,0.004650444,0.025320651,0.040230986,-0.13291474,4.63362e-05,0.0005425559,0.017705332,0.028136564,-0.060011003,0.009411552,0.0041639823,0.0038145324,0.07697268,-0.00807954,0.07664642,0.011002022,0.094420075,0.021105291,0.0017942825,0.006104785,0.008860242,-0.0066644,74540
0.023029307,0.06431784,0.009282594,-0.00996273,0.0051966715,0.03928413,0.038074236,0.068066716,0.00039610098,0.0011401098,0.028139686,0.022176312,0.049167223,0.011674336,0.0036725258,0.00543487,0.117234536,-0.0042836806,0.052224636,-0.04421917,0.022909429,-0.013116603,0.04513073,-0.006925992,0.045422148,-0.0035285447,63689
0.015307131,-0.06345826,-0.00856244,-0.005135242,0.0038615176,0.11750151,0.019708438,0.08568111,-0.0011955636,-0.00551235,0.06905566,0.01596359,-0.044491623,0.03670725,0.009389811,0.030995065,-0.017766897,0.00091025233,-0.099387184,-0.017686924,0.14748526,0.025315633,0.06256324,-0.0035635482,0.15267612,-0.019106401,64840
0.04477069,-0.052843284,0.10672184,-0.0024628688,-0.008938758,-0.07739098,-0.009363944,-0.019357124,0.000264443,0.0007595789,0.011918356,0.019063901,0.014180061,-0.023125602,-0.010463404,-0.017451268,-0.009038093,-0.043861415,-0.03611548,0.043982606,-0.22668475,-0.0106949285,-0.009499536,0.0017063208,-0.03693999,0.03208684,69133
0.18721493,0.29837275,-0.012026843,-0.0054801046,-0.021641016,0.057508525,-0.011471655,0.060522225,-0.0012768751,-0.0019800535,-0.02940205,-0.0039335126,0.16936317,0.013301081,0.00539296,-0.0043278164,0.05835056,-0.0069810017,-0.022724122,-0.0060073193,0.13018587,-0.009543325,-0.021629559,0.09270012,-0.08155051,-0.008452441,69121
0.036851607,0.08959748,0.04111129,-0.004614165,0.0034923023,0.15130372,0.017776275,0.14503399,-0.0023458023,-0.0042400407,-0.059075713,0.022564575,0.19088687,0.045741662,0.013212486,0.03439679,-0.0133640235,-0.024756556,-0.05287038,0.0032604064,0.17883654,0.025161948,0.075698815,-0.025087446,-3.125946e-05,-0.0122787105,64973
0.03994139,0.09603839,-0.008909514,-0.0064493464,0.0061615454,0.039211288,0.0125462515,-0.02850655,-0.0005169249,0.0012206109,0.04611931,0.0053973054,0.0878892,0.013707879,0.004378581,-0.00034311233,-0.0054305843,-0.0046527786,-0.06883568,-0.023846436,0.12713112,-0.016539458,-0.008532453,-0.019848661,0.055098854,-0.0046660085,74388
-0.07025469,-0.046259046,-0.012207319,-0.0071200174,0.0095255915,-0.099617,-0.011249884,-0.11655816,2.0441803e-06,0.0012265124,0.076459795,0.010673702,-0.057455916,-0.02943875,-0.011288558,-0.019841136,-0.005936762,0.019276986,0.061821476,-0.011166236,0.12309109,-0.036004268,-0.008794932,-0.0032443341,0.049268305,-0.0027161932,72181
0.05198221,0.0811694,-0.028548537,-0.0069837193,0.005221871,0.020746773,0.011653428,-0.040551063,7.3610325e-05,0.0012014869,-0.05276593,0.012908153,0.009949145,0.009272278,-0.003543884,-0.0032052617,-0.013183972,0.0052590477,-0.045516305,-0.046628952,-0.113459826,-0.023247564,0.0015827046,-0.019677173,0.023460526,-0.027239485,68578
