listing_id,neighbourhood,risk_probability,high_risk_flag,risk_band
1315733253772968160,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.4135,0,Moderate
1315752856263633404,ΝΕΟΣ ΚΟΣΜΟΣ,0.9509,1,High
1315770615534478036,ΑΚΡΟΠΟΛΗ,0.2223,0,Low
1315808635117752705,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.3721,0,Low
1315824341120635236,ΝΕΟΣ ΚΟΣΜΟΣ,0.1738,0,Low
1315834586706401552,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.4234,0,Moderate
1315873195661643580,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.2128,0,Low
1315907406434671223,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.4427,0,Moderate
1315908532935711669,ΠΑΓΚΡΑΤΙ,0.375,0,Low
1315915734165540970,ΠΕΤΡΑΛΩΝΑ,0.8953,1,High
1315919207744739963,ΚΟΛΩΝΑΚΙ,0.4082,0,Moderate
1315935934097424805,ΡΗΓΙΛΛΗΣ,0.102,0,Low
1315964917429330921,ΚΕΡΑΜΕΙΚΟΣ,0.2052,0,Low
1315999081945082332,ΚΟΛΩΝΟΣ,0.8478,1,High
1316416365081304938,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1119,0,Low
1316439743992427848,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.4527,0,Moderate
1316445304883427175,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.162,0,Low
1316445750423143875,ΑΚΡΟΠΟΛΗ,0.3067,0,Low
1316456697511299408,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.162,0,Low
1316463009255442702,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.162,0,Low
1316503039167122342,ΙΛΙΣΙΑ,0.9955,1,High
1316553017297164753,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.1529,0,Low
1316603630206494637,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.3503,0,Low
1316611966784710617,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.1823,0,Low
1316615694301509722,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.184,0,Low
1316667579079758462,ΝΕΟΣ ΚΟΣΜΟΣ,0.4922,0,Moderate
1316673336571501370,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.5007,0,Moderate
1316694091416565307,ΠΑΓΚΡΑΤΙ,0.7069,1,High
1316711059192988895,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.2653,0,Low
1316780493819957527,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,0.1569,0,Low
1316813002156597705,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.4715,0,Moderate
1316819396433131947,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.4532,0,Moderate
1316821946005365994,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.3897,0,Low
1316823933287595000,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.9978,1,High
1316840970216967755,ΑΚΡΟΠΟΛΗ,0.1967,0,Low
1317179240265752929,ΠΕΤΡΑΛΩΝΑ,0.9842,1,High
1317235473359305364,ΠΑΤΗΣΙΑ,0.4392,0,Moderate
1317238152322659753,ΚΟΛΩΝΑΚΙ,0.1717,0,Low
1317368242438948310,ΕΛΛΗΝΟΡΩΣΩΝ,0.54,0,Moderate
1317383948402685516,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.3283,0,Low
1317425924021383480,ΚΕΡΑΜΕΙΚΟΣ,0.0805,0,Low
1317530102356890003,ΣΤΑΔΙΟ,0.067,0,Low
1317565343455194661,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.4164,0,Moderate
1317906630274039317,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.3799,0,Low
1317920377920568719,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.4951,0,Moderate
1317925611375636625,ΚΕΡΑΜΕΙΚΟΣ,0.5727,0,Moderate
1317928358305125087,ΝΕΟΣ ΚΟΣΜΟΣ,0.1648,0,Low
1317938589382826469,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.162,0,Low
1317984161119692105,ΠΑΓΚΡΑΤΙ,0.1523,0,Low
1318027800139647451,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.2381,0,Low
1318057752722476554,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,0.3838,0,Low
1318067795334182433,ΑΜΠΕΛΟΚΗΠΟΙ,0.158,0,Low
1318188104583292563,ΑΜΠΕΛΟΚΗΠΟΙ,0.3656,0,Low
1318194713882834447,ΠΑΓΚΡΑΤΙ,0.224,0,Low
1318223497594952164,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.2285,0,Low
1318247376759189484,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.3268,0,Low
1318249387251849158,ΠΕΔΙΟ ΑΡΕΩΣ,0.1841,0,Low
1318251942056598277,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.2539,0,Low
1318277630862563140,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.3572,0,Low
1318405788507138933,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.3029,0,Low
1318601800941001079,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.5752,0,Moderate
1318650082805979333,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.3943,0,Low
1318708939080226580,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.2291,0,Low
1318723391194416603,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.9946,1,High
1318749773861504482,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.2947,0,Low
1318751885560677736,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.3374,0,Low
1318765038027602096,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,0.2784,0,Low
1318856297461293437,ΚΟΛΟΚΥΝΘΟΥ,0.4757,0,Moderate
1318871699917386763,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ,0.5601,0,Moderate
1318872992345762910,ΚΟΛΟΚΥΝΘΟΥ,0.8971,1,High
1319037680852132451,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.4145,0,Moderate
1319310938469013772,ΚΟΛΩΝΑΚΙ,0.9334,1,High
1319387979413125345,ΠΑΓΚΡΑΤΙ,0.4911,0,Moderate
1319460860420913461,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.7137,1,High
1319470237074216789,ΠΑΓΚΡΑΤΙ,0.8176,1,High
1319507306546914944,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.8492,1,High
1319521270781540640,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.5492,0,Moderate
1319530244958602787,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.5995,0,Moderate
1319539573935356793,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,0.4244,0,Moderate
