neighbourhood,city,n_listings,median_price_eur,mean_price_eur,mean_log_price,mean_review_rating,mean_composite,mean_cleanliness,pct_entire_home,pct_superhost,pct_multi_listing,pct_at_risk,mean_availability_365,mean_occupancy,mean_revenue_eur,mean_dist_km,mean_sentiment,pct_has_revenue,pct_has_sentiment,dist_zone,listing_share,supply_demand_imbalance,competitive_saturation_score,opportunity_score,price_confidence,price_confidence_note
ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,athens,1011,72.0,88.87833827893175,4.341756348760815,0.9580336300692384,9.603563699307616,4.810662710187932,0.9357072205736894,0.4985163204747774,0.6943620178041543,0.5499505440158259,251.0662710187933,65.91592482690406,4740.460929772503,1.3219224017401552,0.489902917428211,1.0,0.8130563798219584,near_1_3km,0.0709872208959415,9.2856,0.616,0.3331,observed,All Athens listings use IAB observed prices
ΝΕΑ ΚΥΨΕΛΗ,athens,49,49.0,56.755102040816325,3.96980702723214,0.9593061224489796,9.57714693877551,4.775714285714286,0.979591836734694,0.3673469387755102,0.4693877551020408,0.5306122448979592,238.3265306122449,51.53061224489796,2635.3673469387754,2.799213921149087,0.4540707274313234,1.0,0.9183673469387756,near_1_3km,0.0034405280157281,50.0,0.4286,0.5936,observed,All Athens listings use IAB observed prices
ΝΕΟΣ ΚΟΣΜΟΣ,athens,1097,70.0,91.17046490428442,4.367473464910292,0.9624703737465816,9.656491795806746,4.8140200546946215,0.9699179580674568,0.4949863263445761,0.6773017319963537,0.5460346399270738,257.78395624430266,82.3947128532361,6845.655423883318,1.7544125225446858,0.4896702164506267,1.0,0.8714676390154968,near_1_3km,0.0770256986378317,10.697,0.6044,0.4079,observed,All Athens listings use IAB observed prices
ΝΙΡΒΑΝΑ,athens,149,46.0,54.79865771812081,3.941843936088461,0.9553825503355704,9.513721476510067,4.77979865771812,0.8993288590604027,0.3288590604026846,0.610738255033557,0.5771812080536913,259.744966442953,72.21476510067114,3758.241610738255,3.91749089923585,0.3732739652672478,1.0,0.8322147651006712,mid_3_5km,0.010462013762112,50.0,0.498,0.5891,observed,All Athens listings use IAB observed prices
ΠΑΓΚΡΑΤΙ,athens,587,68.0,81.1686541737649,4.281592382503501,0.9600068143100512,9.643700170357752,4.7939352640545145,0.9727427597955708,0.4735945485519591,0.6115843270868825,0.5843270868824532,255.59795570698464,62.45315161839864,4958.279386712095,1.3362498794059017,0.51726906591757,1.0,0.879045996592845,near_1_3km,0.0412161213312737,15.1526,0.5564,0.3562,observed,All Athens listings use IAB observed prices
ΠΑΤΗΣΙΑ,athens,145,47.0,54.33103448275862,3.912035912065557,0.9525241379310344,9.46984275862069,4.745379310344828,0.9310344827586208,0.3034482758620689,0.5655172413793104,0.7448275862068966,269.5655172413793,50.765517241379314,2390.4,4.1239403755969,0.3461203042558754,1.0,0.8344827586206897,mid_3_5km,0.0101811543322567,49.8622,0.4607,0.4152,observed,All Athens listings use IAB observed prices
ΠΕΔΙΟ ΑΡΕΩΣ,athens,89,64.0,81.65168539325843,4.243251875892902,0.9462696629213484,9.506349438202248,4.77314606741573,0.9213483146067416,0.4943820224719101,0.7078651685393258,0.651685393258427,254.51685393258427,42.674157303370784,3429.2696629213483,2.1578080735907474,0.4958150731465415,1.0,0.8426966292134831,near_1_3km,0.0062491223142817,50.0,0.6225,0.5203,observed,All Athens listings use IAB observed prices
ΠΕΝΤΑΓΩΝΟ,athens,2,41.5,41.5,3.7461015213093702,0.961,9.67855,4.705,0.5,0.0,1.0,0.5,238.0,36.0,1620.0,4.618886151059475,0.36777,1.0,0.5,mid_3_5km,0.0001404297149276,50.0,0.6,0.5884,observed,All Athens listings use IAB observed prices
ΠΕΤΡΑΛΩΝΑ,athens,427,73.0,82.00468384074941,4.307243167599456,0.9654754098360656,9.661205854800937,4.8044964871194376,0.9718969555035128,0.5081967213114754,0.6955503512880562,0.5573770491803278,257.3161592505855,75.81733021077284,5912.44262295082,2.3194989870359723,0.4858513366325233,1.0,0.882903981264637,near_1_3km,0.0299817441370594,25.2878,0.6206,0.4815,observed,All Athens listings use IAB observed prices
ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ,athens,158,48.0,59.151898734177216,3.9945806637650025,0.9394556962025316,9.38828924050633,4.726645569620253,0.9113924050632912,0.3987341772151899,0.5886075949367089,0.6518987341772152,264.94303797468353,53.05696202531646,2668.943037974684,3.0326684068535874,0.3761363933179695,1.0,0.7658227848101266,mid_3_5km,0.0110939474792866,47.8251,0.5127,0.4818,observed,All Athens listings use IAB observed prices
ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,athens,501,54.0,67.41317365269461,4.068875320627335,0.9394610778443114,9.369780439121756,4.701477045908184,0.9461077844311376,0.3093812375249501,0.6287425149700598,0.5688622754491018,240.30738522954093,61.98203592814371,3857.556886227545,2.395692499947418,0.3984112577010672,1.0,0.8662674650698603,near_1_3km,0.0351776435893835,17.6197,0.501,0.3552,observed,All Athens listings use IAB observed prices
ΠΟΛΥΓΩΝΟ,athens,20,49.0,54.5,3.94782111788208,0.9793,9.772415,4.882499999999999,0.95,0.25,0.4,0.7,300.85,32.2,1907.6,2.8032985336485714,0.5079763848971541,1.0,0.65,near_1_3km,0.0014042971492767,50.0,0.34,0.4378,observed,All Athens listings use IAB observed prices
ΠΡΟΜΠΟΝΑ,athens,8,46.5,48.125,3.862392844102866,0.96675,9.63715,4.67625,0.875,0.5,0.625,0.625,277.875,36.25,1742.25,5.762991410464825,0.1656356944444444,1.0,1.0,far_5km_plus,0.0005617188597107,50.0,0.575,0.4926,observed,All Athens listings use IAB observed prices
ΡΗΓΙΛΛΗΣ,athens,5,100.0,125.4,4.763645914766311,0.852,9.45028,4.936,1.0,0.4,0.4,0.8,244.6,93.2,8871.2,0.672057532976829,0.3526474444444444,1.0,1.0,centre_0_1km,0.0003510742873191,50.0,0.4,0.5602,observed,All Athens listings use IAB observed prices
ΡΙΖΟΥΠΟΛΗ,athens,12,38.5,46.16666666666666,3.8052910959403903,0.9101666666666668,9.30525,4.585,0.75,0.3333333333333333,0.5833333333333334,0.75,283.5,40.5,2164.0,5.846907453576986,0.2278198468660968,1.0,1.0,far_5km_plus,0.000842578289566,50.0,0.4833,0.4055,observed,All Athens listings use IAB observed prices
ΣΕΠΟΛΙΑ,athens,56,55.0,70.5,4.104625516907334,0.9698928571428572,9.649992857142855,4.845357142857142,0.875,0.4642857142857143,0.5,0.625,252.05357142857144,47.69642857142857,2429.7321428571427,3.594870570639049,0.3018218962760665,1.0,0.8035714285714286,mid_3_5km,0.003932032017975,50.0,0.4857,0.5126,observed,All Athens listings use IAB observed prices
ΣΤΑΔΙΟ,athens,234,73.5,92.6153846153846,4.398521142303339,0.9680769230769232,9.712510256410257,4.834188034188035,0.9658119658119658,0.5341880341880342,0.6752136752136753,0.5427350427350427,244.63247863247864,82.2051282051282,7123.961538461538,1.159574788401009,0.5632746917380821,1.0,0.8333333333333334,near_1_3km,0.0164302766465384,50.0,0.6188,0.7141,observed,All Athens listings use IAB observed prices
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,athens,74,49.5,65.32432432432432,4.060209377935361,0.9419459459459458,9.446756756756756,4.7636486486486485,0.918918918918919,0.5135135135135135,0.5,0.5405405405405406,246.6891891891892,86.87837837837837,4608.054054054054,2.3483501164592084,0.4661935316282406,1.0,0.9054054054054054,near_1_3km,0.0051958994523241,50.0,0.5054,0.6429,observed,All Athens listings use IAB observed prices
